genus,epitet,author
Arenaria,rubra,L.
Arenaria,rupestris,Labili.
Arenaria,salsuginea,Bunge
Arenaria,serpyllifolia,L.
Arenaria,spinuliflora,Ser.
Arenaria,subtilis,Fenzl
Arenaria,tremula,Boiss.
Arenaria,viscosa,Schreb.
Arisarum,,
Arisarum,libani,Schott
Arisarum,veslingii,Schott
Arisarum,vulgare,Targ.-Tozz.
Aristella,,
Aristella,bromoides,(L.) Bertol.
Aristida,,
Aristida,adscensionis,L.
Aristida,caerulescens,Desf.
Aristida,festucoides,Poir.
Aristida,forskalei,Tausch
Aristida,lanata,Forsk.
Aristida,plumosa,L.
Aristida,pumila,Decne
Aristolochia,,
Aristolochia,altissima,Desf.
Aristolochia,billiardieri,Jaub. et Spach
Aristolochia,bottae,Jaub. et Spach
Aristolochia,maurorum,L.
Aristolochia,parvifolia,Sibth. et Sm.
Aristolochia,pœcilantha,Boiss.
Aristolochia,scabridula,Boiss.
Aristolochia,sempervirens,L.
Arrhenatherum,,
Arrhenatherum,avenaceum,Beauv.
Arrhenatherum,elatius,(L.) Mert. et Koch
Arrhenatherum,kotschyi,Boiss.
Arrhenatherum,palaestinum,Boiss.
Arthrocnemum,,
Arthrocnemum,coralloides,Loscos et Pardo
Arthrocnemum,fruticosum,(L.) Moq.
Arthrocnemum,glaucum,(Del.) Ung.-Sternb.
Arum,,
Arum,arisarum,L.
Arum,conophalloides,Ky
Arum,detruncatum,C. A. Mey.
Arum,dioscoridis,Sibth. et Smith
Arum,elongatum,Stev.
Arum,gratum,Schott
Arum,hygrophilum,Boiss.
Arum,intortum,Banks et Sol.
Arum,italicum,Mill.
Arum,melanopus,Boiss.
Arum,orientale,M. Bieb.
Arum,palaestinum,Boiss.
Arum,rauwolfii,Blume
Arum,rupicola,Boiss.
Arum,spiculatum,Blume
Arum,syriacum,Blume
Arundo,,
Arundo,arenaria,L.
Arundo,donax,L.
Arundo,epigeios,L.
Arundo,littorea,Schrad.
Arundo,•mauritanica,Desf.
Arundo,phragmites,L.
Arundo,pliniana,Turra
Arundo,plinii,Turra
Arundo,pseudophragmites,Hall. fil.
Asarum,,
Asarum,hypocistis,L.
Asparagus,,
Asparagus,acutifolius,L.
Asparagus,aphyllus,L.
Asparagus,officinalis,L.
Asparagus,palaestinus,Baker
Asparagus,stipularis,Forsk.
Asparagus,trichophyllus,Bunge
Asphodeline,,
Asphodeline,brevicaulis,(Bertol.) J. Gay
Asphodeline,damascena,Boiss.
Asphodeline,edumea,(Zoh.) Moût.
Asphodeline,globiferaj.,Gay
Asphodeline,isthmocarpa,J. Gay
Asphodeline,liburnica,(Scop.) Reichenb.
Asphodeline,lutea,(L.) Reichenb.
Asphodeline,recurva,Post
Asphodeline,taurica,(Pall.) Kunth
Asphodeline,tenuior,(Fisch.) Ledeb.
Asphodelusi,,
Asphodelusi,aestivus,Brot.
Asphodelusi,brevicaulis,Bertol.
Asphodelusi,fistulosus,L.
Asphodelusi,inderiensis,Stev.
Asphodelusi,liburnicus,Scop.
Asphodelusi,luteus,L.
Asphodelusi,microcarpus,Salzm. et Viv.
Asphodelusi,ramosus,L.
Asphodelusi,tauricus,Pali.
Aspidium,,
Aspidium,libanoticum,Rosenstock
Asplenium,,
Asplenium,adianthum-nigrum,L.
Asplenium,bourgaei,Boiss.
Asplenium,ceterach,L.
Asplenium,fontanum,Bernh.
Asplenium,haussknechtii,Godet et Reut.
Asplenium,ruta-muraria,L.
Asplenium,sagittatum,(D.C.) A. Bange
Asplenium,scolopendrium,L.
Asplenium,trichomanes,L.
Athyrium,,
Athyrium,filix-femina,(L.) Roth
Atraphaxis,,
Atraphaxis,billardieri,Jaub. et Spach
Atraphaxis,spinosa,L.
Atriplex,,
Atriplex,alexandrina,Boiss.
Atriplex,amana,Post
Atriplex,autrani,Post
Atriplex,crystallina,Boiss.
Atriplex,glauca,L.
Atriplex,halimus,L.
Atriplex,hastata,L.
Atriplex,heterosperma,Bunge
Atriplex,hortensis,L.
Atriplex,lasiantha,Boiss.
Atriplex,leucoclada,Boiss.
