page_num,genus,epithet,infra,author,taxon rank
705,Anisociadium,orientale,,D.C. ,species
705,Anogramma,,,,genus
705,Anogramma,leptophylla,,(L.) Link ,species
705,Anthriscus,,,,genus
705,Anthriscus,lamprocarpa,,Boiss. ,species
705,Anthriscus,nemorosa,,(M. Bieb) Spreng. ,species
705,Anthriscus,vulgaris,,Spreng. ,species
705,Anthyllis,,,,genus
705,Anthyllis,incisa,,vWilld. ,species
705,Anthyllis,maura,,Beck ,species
705,Anthyllis,tetrapkylla,,L. ,species
705,Anthyllis,vulneraria,,L. ,species
705,Aphanes,,,,genus
705,Aphanes,comucopiae,,Pomel ,species
705,Aphanes,arvensis,,L. ,species
705,Apium,,,,genus
705,Apium,graveolens,,L. ,species
705,Apium,nodiflorum,,(L.) Reichb. ,species
705,Apium,petroselinum,,L. ,species
705,Arabidopsis,,,,genus
705,Arabidopsis,pumila,,(Steph.) Busch ,species
705,Arabidopsis,thaliana,,(L.) Heynh. ,species
705,Arabis,,,,genus
705,Arabis,albida,,Stev. ,species
705,Arabis,aucheri,,Boiss. ,species
705,Arabis,auriculata,,Lam. ,species
705,Arabis,caucasica,,Schlecht. ,species
705,Arabis,laxa,,Sibth. et Smith ,species
705,Arabis,montbretiana,,Boiss. ,species
705,Arabis,nova,,Vill. ,species
705,Arabis,nuda,,Bélanger ,species
705,Arabis,petiolata,,M. Bieb. ,species
705,Arabis,sagittata,,(Bertol.) D.C. ,species
705,Arabis,thaliana,,L. ,species
705,Arabis,turrita,,L. ,species
705,Argemone,,,,genus
705,Argemone,mexicana,,,species
705,Argyrolobium,,,,genus
705,Argyrolobium,crotalarioides,,Jaub. et Spach ,species
705,Argyrolobium,gracile,,Fenzl ,species
705,Argyrolobium,syriacum,,Boiss. ,species
705,Aristida,,,,genus
705,Aristida,plumosa,,L. ,species
705,Aristida,lanata,,Forssk. ,species
705,Armeniaca,,,,genus
705,Armeniaca,vulgaris,,Lam. ,species
705,Artedia,,,,genus
705,Artedia,squamata,,L. ,species
705,Arthrocnemum,,,,genus
705,Arthrocnemum,glaucum,,(Del.) Ung. Stern. ,species
705,Arthrocnemum,macrostachyum,,(Moricand) ,species
705,Arthrocnemum,macrostachyum,Delponte,,et
705,Arum,,,,genus
705,Arum,graminéum,,Banks et Sol. ,species
705,Arundo,,,,genus
705,Arundo,australii,,Cav. ,species
705,Asphodeline,,,,genus
705,Asphodeline,globifera,,J. Gay ,species
705,Asphodeline,recurva,,Post ,species
705,Asphodeline,taurica,,(Pall.) Kunth ,species
705,Aspidium,,,,genus
705,Aspidium,libanoticum,,Ros. ,species
705,Asplenium,,,,genus
706,Asplenium,adiantum-nigrum,,L. ,species
706,Asplenium,onopteris,,L. ,species
706,Astoma,,,,genus
706,Astoma,seselifolium,,D.C. ,species
706,Astragalus,,,,genus
706,Astragalus,acinaciferus,,Boiss. ,species
706,Astragalus,aintabicus,,Boiss. ,species
706,Astragalus,alexandrinus,,Boiss. ,species
706,Astragalus,ammocryptus,,Boiss. ,species
706,Astragalus,ancistrocarpus,,Boiss. et Hàusskn. ,species
706,Astragalus,ancyleus,,Boiss. ,species
706,Astragalus,andrachne,,Boiss. ,species
706,Astragalus,andrachnifolius,,Fenzl ,species
706,Astragalus,angulosus,,D.G. ,species
706,Astragalus,angustifolius,,Lam. ,species
706,Astragalus,annularis,,Forssk. ,species
706,Astragalus,antabicus,,Boiss. ,species
706,Astragalus,anthylloides,,Lam. ,species
706,Astragalus,antilibani,,Bge ,species
706,Astragalus,antiochianus,,Post ,species
706,Astragalus,arbainensis,,Eig ,species
706,Astragalus,argyrophyttus,,Boiss. et Gaill. ,species
706,Astragalus,argyrothamnos,,Boiss. ,species
706,Astragalus,ascophorus,,Fisch. ,species
706,Astragalus,aulacolobus,,Boiss. ,species
706,Astragalus,baalbekensis,,Bornm. ,species
706,Astragalus,baeticus,,L. ,species
706,Astragalus,barbatus,,Lam. ,species
706,Astragalus,barukanus,,Eig ,species
706,Astragalus,beershabensis,,Eig et Sam. ,species
706,Astragalus,berytheus,,Boiss. et Bl. ,species
706,Astragalus,bethlehemiticus,,Boiss. ,species
706,Astragalus,bhamrensis,,Sirj. et Rech. fil. ,species
706,Astragalus,bombycinus,,Boiss. ,species
706,Astragalus,brachyceras,,Ledeb. ,species
706,Astragalus,brachystachys,,D.C. ,species
706,Astragalus,bracteosus,,Boiss. et Noë ,species
706,Astragalus,butleri,,Post ,species
706,Astragalus,callichrous,,Boiss. ,species
706,Astragalus,canaliculatus,,Willd. ,species
706,Astragalus,cataonicus,,Bge ,species
706,Astragalus,cedreti,,Boiss. ,species
706,Astragalus,cephalotes,,Banks et Sol. ,species
706,Astragalus,chaborasicus,,Boiss. et Hausskn. ,species
706,Astragalus,chlofostegius,,Boiss et Haussk. ,species
706,Astragalus,collinus,,Boiss. ,species
706,Astragalus,coluteoides,,Willd. ,species
706,Astragalus,commixtus,,Bge ,species
706,Astragalus,corîdûpUcaÈu^Sretoï.,,,species
706,Astragalus,corrugatus,,Bertol. ,species
706,Astragalus,cretaceus,,Boiss. et Ky ,species
706,Astragalus,cruciatus,,Link ,species
706,Astragalus,cruentiflorus,,Boiss. ,species
706,Astragalus,cucullaris,,Boiss. ,species
706,Astragalus,dactylocarpus,,Boiss. ,species
706,Astragalus,damascenus,,Boiss. et GailL ,species
706,Astragalus,darmikii,,Moût. ,species
707,Astragalus,vexillaris,,Boiss. ,species
707,Astragalus,zachlensis,,Bge ,species
707,Astragalus,zebedamenis,,Freyn et Bornm. ,species
707,Astragalus,zemeraniensis,,Eig ,species
707,Astrantia,,,,genus
707,Astrantia,prenticei,,Post ,species
707,Astrodaucus,,,,genus
707,Astrodaucus,leptocarpus,,(Hochst.) Drude ,species
707,Astrodaucus,orientalis,,(L.) Drude ,species
707,Atriplex,,,,genus
707,Atriplex,laevis,,C'A. Mey. ,species
707,Atriplex,littoralis,,L. ,species
707,Àubrietia,,,,genus
707,Àubrietia,cdnescens,,(Boiss.) Bornm. ,species
707,Àubrietia,libanotica,,Boiss. ,species
707,Àubrietia,parviflora,,Boiss. ,species
707,Avena,,,,genus
707,Avena,alba,,auct. ,species
707,Avena,barbata,,Potter ,species
707,Avena,ludoviciana,,Dur. ,species
707,Avena,sterilis,,L. ,species
707,Barbarea,,,,genus
707,Barbarea,minor,,C. Koch ,species
707,Barbarea,plantaginea,,D.C. ,species
707,Behen,,,,genus
707,Behen,vulgaris,,Moench ,species
707,Bellevalia,,,,genus
707,Bellevalia,douinii,,Pabot et Moût. ,species
707,Berberis,,,,genus
707,Berberis,eretica,,L. ,species
707,Berberis,libanotica,,Ehrenb. ,species
707,Berula,,,,genus
707,Berula,angustifolia,,(L.) Mert. et Koch ,species
707,Berula,erecta,,(Huds.) Coville ,species
707,Biarum,,,,genus
707,Biarum,gramineum,,(Banks et Sol.) Eig ,species
707,Biarum,russellianum,,Schott ,species
707,Biebersteinia,,,,genus
707,Biebersteinia,multifida,,D.C. ,species
707,Bifora,,,,genus
707,Bifora,testiculata,,Roth ,species
707,Bilderdykia,,,,genus
707,Bilderdykia,convolvulus,,(L.) Dumort. ,species
707,Biscutella,,,,genus
707,Biscutella,ciliata,,D.C. ,species
707,Biscutella,coluntnae,,Boiss. ,species
707,Biscutella,didyma,,L. ,species
707,Biserrula,,,,genus
707,Biserrula,pelecinus,,L. ,species
707,Boerhavia,,,,genus
707,Boerhavia,africana,,Loureiro ,species
707,Boerhavia,plumbaginea,,Cav. ,species
707,Boissiera,,,,genus
708,Boissiera,pumilio,,(Ton.) Beck. ,species
708,Boissiera,squarrosa,,(Banks et Sol.) Nevski ,species
708,Bonavenia,,,,genus
708,Bonavenia,securidacaiÇL.),,Desv. ,species
708,Bongardia,,,,genus
708,Bongardia,chrysogonum,,(L.) Boiss. ,species
708,Bongardia,rauwolfii,,C.A. Mey. ,species
708,Brassica,,,,genus
708,Brassica,assyriaca,,Moût. ,species
708,Brassica,campestris,,L. ,species
708,Brassica,eretica,,"Lam, ",species
708,Brassica,deflexa,,Boiss. ,species
708,Brassica,eruca,,L. ,species
708,Brassica,leptocarpos,,Boiss. ,species
708,Brassica,libanotica,,Post ,species
708,Brassica,napus,,L. ,species
708,Brassica,nigra,,L. ,species
708,Brassica,nivea,,Boiss. et Sprun. ,species
708,Brassica,oleracea,,L. ,species
708,Brassica,purpurascens,,Banks et Sol. ,species
708,Brassica,râpa,,L. ,species
708,Brassica,rupicola,,Bouloumoy ,species
708,Brassica,tournefortii,,Gouan ,species
708,Brassica,vesicaria,,L. ,species
708,Briza,,,,genus
708,Briza,humilis,,M. Bieb. ,species
708,Briza,spicata,,Sibth. et Smith ,species
708,Bromus,,,,genus
708,Bromus,diandrus,,Roth ,species
708,Bromus,gussonii,,Pari. ,species
708,Bromus,rigidus,,Roth ,species
708,Buffonia,,,,genus
708,Bullardia,,,,genus
708,Bullardia,vaillantii,,(Willd.) D.C. ,species
708,Bunias,,,,genus
708,Bunias,aegyptiacus,,L. ,species
708,Bunias,cakile,,L. ,species
708,Bunias,my,,agroides L. ,species
708,Bunias,spinosa,,Turra ,species
708,Bunium,,,,genus
708,Bunium,cassium,,Boiss. ,species
708,Bunium,creticum,,d'Urv. ,species
708,Bunium,elegans,,(Fenzl) Freyn ,species
708,Bunium,ferulaceum,,Sibth. et Smith ,species
708,Bunium,ferulifolium,,Desf. ,species
708,Bunium,pestalozzae,,Boiss. ,species
708,Bupleurum,,,,genus
708,Bupleurum,aleppicum,,Bobs. ,species
708,Bupleurum,australe,,Jord. ,species
708,Bupleurum,boiss,,ri Post ,species
708,Bupleurum,brachiatum,,C. Koch ,species
708,Bupleurum,brevicaule,,Schlecht. ,species
708,Bupleurum,cappadocicum,,Boiss. ,species
708,Bupleurum,croceum,,Fenzl ,species
708,Bupleurum,dichotomum,,Boiss. ,species
708,Bupleurum,fontanesii,,Guss. ,species
708,Bupleurum,fruticosum,,L. ,species
708,Bupleurum,gerardii,,Ail. ,species
708,Bupleurum,glaucum,,Rob. et Cast. ,species
708,Bupleurum,heterophyllum,,Link ,species
708,Bupleurum,irregulare,,Boiss. et Ky ,species
708,Bupleurum,koechelii,,Fenzl ,species
708,Bupleurum,kurdicum,,Boiss. ,species
708,Bupleurum,lancifolium,,Hornem. ,species
708,Bupleurum,libanoticum,,Boiss. ,species
708,Bupleurum,linearifolium,,D.C. ,species
708,Bupleurum,nodiflorum,,Sibth. et Smith ,species
708,Bupleurum,odontiies,,Boiss. ,species
708,Bupleurum,papillosum,,D.C. ,species
708,Bupleurum,postii,,Wolff ,species
708,Bupleurum,protractum,,Hoffm. et Link ,species
708,Bupleurum,rotundifolium,,L. ,species
708,Bupleurum,semicompositum,,L. ,species
708,Bupleurum,subovatum,,Link ,species
708,Bupleurum,trichopodum,,Boiss. et Sprun. ,species
708,Butinia,,,,genus
708,Butinia,libanotica,,Boiss. ,species
708,Buxus,,,,genus
708,Buxus,longifolia,,Boiss. ,species
708,Buxus,sempervirens,,L. ,species
708,Cachrys,,,,genus
708,Cachrys,crispa,,Pers. ,species
708,Cachrys,goniocarpa,,Boiss. ,species
708,Cachrys,microcarpa,,M. Bieb. ,species
708,Cactus,,,,genus
