genus,epitet,author
hispidus,,Lab.
huninensis,,Freyn et Bornm.
kahiricus,,D.C.
kotschyanus,,Boiss.
kurnet-es-saudae,,Eig
lanatus,,Lab.
lepidanthus,,Boiss.
kptothamnus,,Boiss.
Hbanoticus,,Boiss.
louisir,,Thiéb.
lusitanicus,,Lam.
maaratensis,,Eig
macrocarpus,,D.C.
megaloceras,,Sam. et Eig
microthamnus,,Boiss. et Hausskn.
mitchelii,,
mcillis,,
mossulensis,,
mouterdeianus,,
nqftolskyi,,
neurocarpus,,
nitidulus,,
nucleiferus,,
nummularius,,
nusairiensis,,
nusairiensis,,
odoratus,,
oocephalus,,
oxyglottis,,
oxyphyllus,,
pabotii,,
palaestinus,,
palmyrensis,,
pentaglottis,,
pinetorum,,Boiss.
platyfaphis,,
postii,,
pseudostella,,
psilodontius,,
qàtmeftsis,,
radiatus,,
rascheyaensis,,
rauwolfii,,
roussaeanus,,
russellii,,
samuelssonii,,
sanctus,,
schimperi,,
schizopterus,,
scorpioides,,
selemiensis,,
semaanensis,,
sesameus,,
sieberi,,
sintenesii,,
sofarensis,,
spicaeiformis,,
spinosus,,
squarrosus,,
stojani,,
stramineus,,
suberosus,,
supranubius,,
surugensis,,
tadmorensis,,
trachoniticus,,
transjordanicus,,
tribuloides,,
trichopterus,,
trifoliolatus,,
triradiatus,,
tuberculosus,,
tuberculosus,vexillaris,Boiss.
tuberculosus,zachlensis,Bge
tuberculosus,zebedamenis,Freyn et Bornm.
tuberculosus,zemeraniensis,Eig
Astrantia,,
Astrantia,prenticei,Post
Astrodaucus,,
Astrodaucus,leptocarpus,(Hochst.) Drude
Astrodaucus,orientalis,(L.) Drude
Atriplex,,
Atriplex,',laevis C'A. Mey.
Atriplex,littoralis,L.
Àubrietia,,
Àubrietia,cdnescens,(Boiss.) Bornm.
Àubrietia,libanotica,Boiss.
Àubrietia,parviflora,Boiss.
Avena,,
Avena,alba,auct.
Avena,barbata,Potter
Avena,ludoviciana,Dur.
Avena,sterilis,L.
Barbarea,,
Barbarea,minor,C. Koch
Barbarea,plantaginea,D.C.
Behen,,
Behen,vulgaris,Moench
Bellevalia,,
Bellevalia,douinii,Pabot et Moût.
Berberis,,
Berberis,eretica,L.
Berberis,libanotica,Ehrenb.
Berula,,
Berula,angustifolia,(L.) Mert. et Koch
Berula,erecta,(Huds.) Coville
Biarum,,
Biarum,gramineum,(Banks et Sol.) Eig
Biarum,russellianum,Schott
Biebersteinia,,
Biebersteinia,multifida,D.C.
Bifora,,
Bifora,testiculata,Roth
Bilderdykia,,
Bilderdykia,convolvulus,(L.) Dumort.
Biscutella,,
Biscutella,ciliata,D.C.
Biscutella,coluntnae,Boiss.
Biscutella,didyma,L.
Biserrula,,
Biserrula,pelecinus,L.
Boerhavia,,
Boerhavia,africana,Loureiro
Boerhavia,plumbaginea,Cav.
Boissiera,,
Boissiera,pumilio,(Ton.) Beck.
Boissiera,squarrosa,(Banks et Sol.) Nevski
Bonavenia,,
Bonavenia,securidacaiÇL.),Desv.
Bongardia,,
Bongardia,chrysogonum,(L.) Boiss.
Bongardia,rauwolfii,C.A. Mey.
Brassica,,
Brassica,assyriaca,Moût.
Brassica,campestris,L.
Brassica,eretica,"Lam,"
Brassica,deflexa,Boiss.
Brassica,eruca,L.
Brassica,leptocarpos,Boiss.
Brassica,libanotica,Post
Brassica,napus,L.
Brassica,nigra,L.
Brassica,nivea,Boiss. et Sprun.
Brassica,oleracea,L.
Brassica,purpurascens,Banks et Sol.
Brassica,râpa,L.
Brassica,rupicola,Bouloumoy
Brassica,tournefortii,Gouan
Brassica,vesicaria,L.
Briza,,
Briza,humilis,M. Bieb.
Briza,spicata,Sibth. et Smith
Bromus,,
Bromus,diandrus,Roth
Bromus,gussonii,Pari.
Bromus,rigidus,Roth
Buffonia,,
Bullardia,,
Bullardia,vaillantii,(Willd.) D.C.
Bunias,,
Bunias,aegyptiacus,L.
Bunias,cakile,L.
Bunias,my,agroides L.
Bunias,spinosa,Turra
Bunium,,
Bunium,cassium,Boiss.
Bunium,creticum,d'Urv.
Bunium,elegans,(Fenzl) Freyn
Bunium,ferulaceum,Sibth. et Smith
Bunium,ferulifolium,Desf.
Bunium,pestalozzae,Boiss.
Bupleurum,,
Bupleurum,aleppicum,Bobs.
Bupleurum,australe,Jord.
Bupleurum,boiss,ri Post
Bupleurum,brachiatum,C. Koch
Bupleurum,brevicaule,Schlecht.
Bupleurum,cappadocicum,Boiss.
Bupleurum,croceum,Fenzl
Bupleurum,dichotomum,Boiss.
Bupleurum,fontanesii,Guss.
Bupleurum,fruticosum,L.
Bupleurum,gerardii,Ail.
Bupleurum,glaucum,Rob. et Cast.
Bupleurum,irregulare,Boiss. et Ky
Bupleurum,koechelii,Fenzl
Bupleurum,kurdicum,Boiss.
Bupleurum,lancifolium,Hornem.
Bupleurum,libanoticum,Boiss.
Bupleurum,linearifolium,D.C.
Bupleurum,nodiflorum,Sibth. et Smith
Bupleurum,odontiies,Boiss.
Bupleurum,papillosum,D.C.
Bupleurum,postii,Wolff
Bupleurum,protractum,Hoffm. et Link
Bupleurum,rotundifolium,L.
Bupleurum,semicompositum,L.
Bupleurum,subovatum,Link
Bupleurum,trichopodum,Boiss. et Sprun.
Butinia,,
Butinia,libanotica,Boiss.
Buxus,,
Buxus,longifolia,Boiss.
Buxus,sempervirens,L.
Cachrys,,
Cachrys,crispa,Pers.
Cachrys,goniocarpa,Boiss.
Cachrys,microcarpa,M. Bieb.
Cactus,,
Cactus,ficus-indica,L.
Cactus,opuntia,L.
Cakile,,
Cakile,aegyptiaca,(L.) Maire et Weiller
Cakile,maritima,Scop.
Calepina,,
Calepina,corvinii,Desv.
Calepina,irregularis,(Asso) Thell.
Calligonum,,
Calligonum,comosum,L'Hér.
Calligonum,tetrapterum,Jaub. et Spach
Callitriche,,
Callitriche,naftolskyi,Warb.
Callitriche,sp.,nova
Callitriche,truncata,Guss.
Calycotome,,
Calycotome,villosa,(Vahl) Link
Camelina,,
